address,description,projectName,typeOfUse,status,recentUpdate,email,phone,city,planner
815 E Palmyra Ave,Request to construct an addition to a historic single- family residence and relocate a garage,Tina Herman,,Denied,,,,Orange,
905 E Palmyra Ave,"Add an ADU attached to an existing ""barn"" structure.",Nash ADU,,Approved,02/23/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
206 W Palmyra Ave,Residential remodel including a shed roof expansion at the rear and new detached shed,Wencel Residential Addition,,Pending,11/16/2022,amatsumayan@cityoforange.org,(714) 744-7239,Orange,Ani Mnatsakanyan
3811 W Park Balboa Ave,Request to convert two 2-car garages into an ADU.,Abdelmale k ADU,,Pending,04/17/2023,mschwartz@cityoforange.org,(714) 744-7220,Orange,Monique Schwartz
1630 Pepper Wood Cir,Request to construct a habitable accessory structure in rear yard.,Adediran Residence,,Pending,09/29/2022,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
374 N Pine St,Expansion of a legal nonconforming duplex,McBride & Lui Residence,,Pending,11/09/2022,amatsumayan@cityoforange.org,(714) 744-7239,Orange,Ani Mnatsakanyan
553 N Pine St,Remove a non- permitted structure and convert an existing detached garage to an ADU and construct an addition onto the rear of the garage to create a 750 square foot ADU.,England ADU,,Pending,08/15/2022,,,Orange,
125 N Pixley St,A proposal to remodel the interior of a 918 square foot single family residence and construct new 2-car garage in the Old Towne Historic District.,Reyes Garage,,Pending,06/13/2023,amatsumayan@cityoforange.org,(714) 744-7239,Orange,Ani Mnatsakanyan
71 Plaza Square,A request to establish a rooftop stealth screen wireless facility in the Old Towne Historic District,"AT&T NSB Site ""CLL01157""",,Pending,05/31/2022,,,Orange,
749 N Poplar St,Bus Storage on paved parking lot,TCS Bus,,Pending,09/29/2022,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
777 Ranch Wood Trl,Garage expansion where the garage door exceeds eight feet in height,Philip Bennett,,Approved,09/29/2022,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
3814 E Roberta Dr,Convert existing attached garage to ADU,Awadallah ADU,,Denied,05/03/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
3814 E Roberta Dr,One foot reduction to side yard setback for garage addition.,Awadallah Garage Addition,,Denied,05/03/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
811 E Saint James Avenue,Applicant has requested to build an ADU,Freeman ADU,,Denied,07/25/2023,,,Orange,
2632 N San Miguel Dr,Construction of a new detached 736 square foot ADU and 480 square foot roof deck.,Houshiar ADU,,Approved,08/29/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
2860 N Santiago Blvd,A proposal to construct solar carports within the existing parking lot of an office building,H&S Energy,,Pending,04/01/2021,tchhan@cityoforange.org,(714) 744-7272,Orange,Tiffany Chhan
1700 E Santiago Canyon Rd,"A request for approval of tentative tract maps and modified Planned Community standards and design guidelines for a 1,180 unit residential subdivision in the Santiago Hills II Planned Community. A modified Runoff Management Plan (ROMP) and modified Development Agreement are also included in this request. (This request is a modification to a previously- approved project. The previous approvals allow for a maximum of 1,746 units in Santiago Hills II).",Santiago Hills II Planned Community,,Approved,11/18/2022,rabegglen@cityoforange.org,(714) 744-7252,Orange,Ryan Agbayani
6146 E Santiago Canyon Rd,,Mara Brandman Arena Site SB 330,,Denied,09/22/2023,,,Orange,
7845 E. Santiago Canyon Rd,"A proposal to construct a 13,644 square foot, two story administration building with office, chapel, and mortuary facilities, surface parking and related site improvements.",Holy Sepulcher Cemetery,,Pending,07/26/2023,mschwartz@cityoforange.org,(714) 744-7220,Orange,Monique Schwartz
159 N Shaffer St,A proposal to demolish an existing non- contributing garage and replace it with a new 400 SF garage with 661AF attached ADU.,Malloy Residence,,Pending,04/11/2022,amatsumayan@cityoforange.org,(714) 744-7239,Orange,Ani Mnatsakanyan
945 N Shaffer St,Construction of 653 sq. ft. outdoor kitchen and pool house.,Selman Residence,,Approved,09/29/2022,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
2151 N Shaffer St,New 525 square foot detached ADU with two bedrooms and two bathrooms.,Peterson ADU,,Denied,07/14/2023,cdinfo@cityoforange.org,(714) 744-7220,Orange,Amber Gregg
454 S Shaffer St,Demolition of existing garage and construction of new garage,Johnston Garage Addition,,Pending,05/03/2023,amatsumayan@cityoforange.org,(714) 744-7239,Orange,Ani Mnatsakanyan
3735 W Sherringham Ave,"New 756 square foot attached ADU with one bedroom and one bathroom, and 54 square foot addition to primary residence.",Gulliver ADU,,Denied,09/13/2023,cdinfo@cityoforange.org,(714) 744-7220,Orange,Amber Gregg
2057 N Silverwood St,New 999 square foot detached ADU with two bedrooms and two bathrooms.,Vu ADU,,Pending,08/11/2023,cdinfo@cityoforange.org,(714) 744-7220,Orange,Amber Gregg
4414 W Stay Ct,"Covert existing detached garage into a 374 square foot ADU with one bedroom and one bathroom, and 59 square foot ADU addition.",Overton ADU,,Denied,05/09/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
4142 N Sunset Street,,Ward Residence,,Pending,09/06/2023,,,Orange,
451 S The City Dr,New wireless facility,Reliant Land Services,,Approved,02/23/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
1100 W Town and Country Rd,A proposal to install a solar panel canopy on top of existing parking structure,Distributed Solar Developme nt,,Approved,02/11/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
1312 E. Trenton Ave,New 923 square foot detached ADU with two bedrooms and two bathrooms.,Phan ADU,,Pending,09/13/2023,cdinfo@cityoforange.org,(714) 744-7220,Orange,Amber Gregg
236 S Tustin St,New 800 square foot detached ADU.,Nguyen ADU,,Denied,,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
1419 N Tustin St,Temporary storage container for Green Tomato Grill restaurant.,Green Tomato Grill Temporary Storage,,Denied,06/20/2023,rabegglen@cityoforange.org,(714) 744-7252,Orange,Ryan Agbayani
1952 N Tustin St,Request for an ABC Type 41 Beer and Wine License for a restaurant.,Mokkoji Shabu Shabu Bar,,Pending,08/22/2023,rabegglen@cityoforange.org,(714) 744-7252,Orange,Ryan Agbayani
2050 N Tustin St,Remodel interior and exterior of existing Staples store and minor site improvements for a new ALDI supermarket.,ALDI,,Pending,08/10/2023,rabegglen@cityoforange.org,(714) 744-7252,Orange,Ryan Agbayani
2050 N Tustin St,Request for an ABC Type 20 (Off- Sale Beer and Wine) License.,ALDI ABC,,Pending,08/22/2023,rabegglen@cityoforange.org,(714) 744-7252,Orange,Ryan Agbayani
2200 N Tustin St,"Prelimnary Review for 167 for sale townhomes, and 42 below market rate ADU's for a total of 209 units, totalling 263,054 squre feet of residential development, and 1,500 squre feet of nonresidential development",The Village District at Orange,,Denied,06/19/2023,cortega@cityoforange.org,(714) 744-7237,Orange,Chad Ortlieb
432 N Tustin St,Request to establish a motorcycle accessories sales and installation business.,Motorcycle Wheel Works,,Approved,02/06/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
584 N Tustin St,A request to construct a new drive-through restaurant.,Popeye’s Chicken,,Approved,02/23/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
1 University Dr,A proposal to update the Chapman University Specific Plan.,Chapman University Specific Plan Amendmen t #7,,Pending,,,,Orange,
545 E Van Bibber Ave,"Addition of a 169 square foot bathroom off of the primary bedroom, extending into the rear yard.",Sargeant Additon,,Pending,06/17/2022,amatsumayan@cityoforange.org,(714) 744-7239,Orange,Ani Mnatsakanyan
1500 E Village Way,Proposal to operate a COVID- 19 testing stie behind the Village at Orange; not associated with any medical provider on-site.,Riviera Medical COVID-19 Testing,,Pending,09/21/2022,tchhan@cityoforange.org,(714) 744-7272,Orange,Tiffany Chhan
638 W Culver Ave,429 square foot interior residence conversion to ADU and 389 square foot garage conversion to JADU,Long Doan ADU,,Pending,05/24/2022,,,Orange,
1212 E Walnut Ave,New detached 748 SF ADU (2 bedrooms 2 bathrooms) at rear of property,Kroh/Staph ADU,,Pending,01/03/2023,rabegglen@cityoforange.org,(714) 744-7252,Orange,Ryan Agbayani
1222 E Walnut Ave,New 798 square foot detached ADU with two bedrooms and two bathrooms.,Makelin ADU,,Pending,,cdinfo@cityoforange.org,(714) 744-7220,Orange,Amber Gregg
1327 E Walnut Ave,"New 650 square foot attached ADU with one bedroom and one bathroom and 234 square foot attached patio cover, and 137 square foot addition to the primary residence.",Pei ADU and room addition,,Pending,09/07/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
1621 E Walnut Ave,Co-location of a new WCF for Dish Wireless on an existing monopalm and construct a 91 square foot equipment enclosure.,Dish Wireless,,Pending,09/06/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
4100 E. Walnut Ave,Request for a temporary storage container to be installed between existing modular classrooms at the OCCA school site.,Mike Davis,,Denied,06/28/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
828 E Washington St,A proposal to remodedl and add 424 square feet onto an existing ADU for a total of 652 square feet,Carpenter ADU,,Pending,11/30/2022,amatsumayan@cityoforange.org,(714) 744-7239,Orange,Ani Mnatsakanyan
156 N Waverly St,New 387 SF ADU attached to the rear of a detached garage,Arkin ADU,,Pending,02/21/2023,amatsumayan@cityoforange.org,(714) 744-7239,Orange,Ani Mnatsakanyan
881 N Waverly St,New detached 799 SF ADU.,Tran ADU,,Pending,08/10/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
335 S Wayfield St,Convert three attached garages into one 550 square foot ADU with two bedrooms and one bathroom.,Rosa ADU,,Pending,09/08/2023,cdinfo@cityoforange.org,(714) 744-7220,Orange,Amber Gregg
7112 E Wilderness Ave,"Proposed construction of a ADU, 2 bed and 2 bath",Mills ADU,,Pending,10/04/2022,tchhan@cityoforange.org,(714) 744-7272,Orange,Tiffany Chhan
1932 W Willow Ave,New detached 744 SF ADU,Genchev ADU,,Pending,01/23/2023,rabegglen@cityoforange.org,(714) 744-7252,Orange,Ryan Agbayani
1932 W Willow Ave,New 2nd story addition to an existing 1 story residence.,Genchev ADR,,Pending,01/23/2023,rabegglen@cityoforange.org,(714) 744-7252,Orange,Ryan Agbayani
1315 E Wilson Ave,New detached 494 SF ADU,Madamba ADU,,Pending,04/27/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
2130 E. 4th Street – Ward 3,"SB 330 application for a 16-unit residential development. The development consists of two, two-story residential buildings each 7,772 sq. ft. and each with eight, two- bedroom units; 6,183 sq. ft. of common open space; and includes three affordable units to low income residents. The project requires review and approval of a State Density Bonus Agreement as it seeks incentives/concessions.",Olive Crest Transitional Youth Housing Development,,Development Review Project for a State Density Bonus Agreement and SB 330,8/1/2023,planning@santa-ana.org,(714) 667-2732,Santa Ana,Santa Ana Planning Office
2624 S. Hickory Street – Ward 6,The applicant is proposing to renew CUP No. 2011-06 for an existing mono-pine wireless cell facility (for Verizon). The mono-pine structure is approximately 57 feet high and the leased area is 585 square feet. This project requires review and approval of a Conditional Use Permit.,Major Wireless Facility Renewal,,Development Review Project for a Conditional Use Permit,8/3/2023,planning@santa-ana.org,(714) 667-2732,Santa Ana,Santa Ana Planning Office
1561 W. sunflower Avenue- Ward 4,"The applicant is proposing a specific plan for a 17.2-acre site to allow up to 1,583 residential units, up to 300,000 square feet of office space, and up to 80,000 square feet of retail space. In addition, the project includes 3,520 on-site parking spaces, 3.63- acres of publicly accessible open space, and 3.27-acres of private amenity spaces. The project requires discretionary approval of an amendment application (zone change) for a specific plan, development agreement, tentative tract map, conditional use permit for on-site alcohol sales, and an inclusionary housing plan by the City Council.",The Village Specific Plan,,"Development Review Project for an Amendment Application, Development Agreement, Tentative Tract Map, and Conditional Use Permit",8/7/2023,planning@santa-ana.org,(714) 667-2732,Santa Ana,Santa Ana Planning Office
2525 N. Main Street Ward 3,"The applicant is requesting approval of various entitlement applications to facilitate the construction of a 7-story mixed-income, multi-family housing development consisting of 498 apartment units, 648 on-site parking spaces, amenities, and private open space.",2525 N. Main Street – Housing Development,,Development Project Review,7/10/2023,planning@santa-ana.org,(714) 667-2732,Santa Ana,Santa Ana Planning Office
3601 W. Sunflower Avenue Ward 1,"The applicant is proposing a change of use from office to medical office for children with special needs. The proposed tenant is Health Smile Kids (HSK), a specialty pediatric dental practice, and they are affiliated with CHOC and Alta-Med. Per Section 41-313.5, medical offices operated by government, government subsidized, or non-profit, require Planning Commission approval of a Conditional Use Permit (CUP).",Alta Med Dental Office for Kids,,Development Project Review for a Conditional Use Permit,7/11/2023,planning@santa-ana.org,(714) 667-2732,Santa Ana,Santa Ana Planning Office
1221 E. Dyer Road Ward 6,"The applicant is proposing to demolish two industrial buildings to accommodate three new industrial buildings with new parking, landscaping, and onsite improvements. Building one will be 69,300 sq. ft., building two will be 47,300 sq. ft., and building three will be 59,400 sq. ft. This project requires discretionary review and approval by the Planning Commission and City Council for a Zoning Ordinance Amendment (ZOA) to amend Specific Development 63 (SD-63) and will be",Park 55 Development,,Development Project Review,7/14/2023,planning@santa-ana.org,(714) 667-2732,Santa Ana,Santa Ana Planning Office
911 E. Walnut Street Ward 6,"The applicant is requesting approval of a voluntary lot merger to merge three (3) lots and proposing to demolish the existing 1,905 sq. ft. one story industrial building to construct a new two-story 6,615 sq. ft. industrial building with caretaker quarters. The proposed project is permissible by right and is not requesting any discretionary action at this time.","Fleming & Sons Concrete Pumping, Inc.",,Development Project Review,7/25/2023,planning@santa-ana.org,(714) 667-2732,Santa Ana,Santa Ana Planning Office
1303 N. Bristol Street Ward 5,"The applicant is proposing to construct a new 2,899 sq. ft. commercial building that would serve a Raising Cane’s, an eating establishment with double drive through lanes. The project requires approval of a conditional use permit for the drive through and after-hours operation (between 12:00am and 6:00am) within 150 ft. of residentially used or zoned properties.",Raising Cane’s,,Development Project Review for a Conditional Use Permit,6/6/2023,planning@santa-ana.org,(714) 667-2732,Santa Ana,Santa Ana Planning Office
1200 E. Glenwood Place Ward 6,The applicant is proposing to renew a CUP for an existing wireless facility. The wireless facility will be 60 ft. in height and disguised as a eucalyptus tower. This project is discretionary.,Wireless Facility Renewal,,Development Project Review for a Conditional Use Permit,6/12/2023,planning@santa-ana.org,(714) 667-2732,Santa Ana,Santa Ana Planning Office
300-324 E. Dyer Road Ward 4,"The applicant is proposing to demolish five existing industrial buildings in order to construct one new industrial building approximately 97,398 sq. ft. in size to include 95 parking stalls and site/landscape improvements. As proposed, the project is administrative and requires DRC approval.",IDS Real Estate Industrial Building,,Development Project Review,6/14/2023,planning@santa-ana.org,(714) 667-2732,Santa Ana,Santa Ana Planning Office
666 S. Harbor Boulevard Ward 1,The applicant is requesting approval of a lot line adjustment. The proposed project will be composed of two parcels. Parcel A will be 2.34 acres and proposed Parcel B will be 0.6 acres. This project is ministerial.,Lot Line Adjustment,,Development Project Review for Lot Line Adjustment,5/10/2023,planning@santa-ana.org,(714) 667-2732,Santa Ana,Santa Ana Planning Office
2200 East McFadden Avenue – Ward 2,"The applicant is proposing to install a battery storage facility within the surplus parking area of an existing public storage facility. The project would also include construction of a Southern California Edison (SCE) substation within the project footprint. The project footprint consists of approximately 38,000 square feet; of which, 19,995 square feet would be covered by structures that would serve the battery storage and SCE substation.",Engie – Battery Storage System,,Development Project Review,10/11/2023,planning@santa-ana.org,(714) 667-2732,Santa Ana,Santa Ana Planning Office
2800 North Main Street – Ward 3,The applicant is proposing to convert three existing freeway-oriented on-premises digital signs into digital billboards for off-premises commercial advertising. The proposed project will require development project review and approval of a conditional use permit.,MainPlace – Billboard,,Development Project Review for Conditional Use Permit,10/12/2023,planning@santa-ana.org,(714) 667-2732,Santa Ana,Santa Ana Planning Office
1920 East Seventeenth Street Unit 200 – Ward 3,"The applicant is proposing to convert an existing 16,619 sq. ft. office tenant space into a religious facility. The religious facility would include administrative offices that would operate Monday through Friday from 9:00 a.m. to 5:00 p.m. and the worship services would be on Sundays from 8:00 a.m. to 5:00 p.m.",Blessed International Fellowship,,Development Project Review,10/17/2023,planning@santa-ana.org,(714) 667-2732,Santa Ana,Santa Ana Planning Office
2102 North Tustin Avenue – Ward 3,"The applicant is proposing to convert an existing 5,580 sq. ft. office building into a Montessori day care building located within the Arterial Commercial (C5) zoning district. As proposed, the project is discretionary.",Ohana Montessori,,Development Project Review for Minor Exception and Variance,10/17/2023,planning@santa-ana.org,(714) 667-2732,Santa Ana,Santa Ana Planning Office
1202 W. Edinger Avenue – Ward 6,"The applicant is proposing the construction of a new performing arts center (PAC), modernization of the existing Monarch Pavilion (Future Center For Arts and Innovation), and associated site development to include: parking and security upgrades for visitor parking and student parking; possible relocation of fire water main on campus serving the PAC and the parking structure; and new landscape and hardscape for campus enhancements. The PAC is to be two-stories, approximately 34,100 square feet in size, and be 75 feet in height with a seat capacity of approximately 550 seats. The Future Center For Arts and Innovation will be approximately 21,320 square feet.",Mater Dei Performing Arts Center,,Development Project Review,9/06/2023,planning@santa-ana.org,(714) 667-2732,Santa Ana,Santa Ana Planning Office
3100 W. Lake Center Drive – Ward 1,"The applicant is proposing to amend SD-58, established for Lake Center Office Park, to allow the construction three (3) new corporate/industrial buildings totaling 325,044 sq. ft. Building 1, consisting of 117,230 sq. ft. will be located on the 5.583- acre vacant parcel. Buildings 2 and 3, consisting of 121,645 sq. ft. and 86,169 sq. ft., respectively, will be constructed on the 10.241-acre site which houses the existing office buildings and parking structure. The new buildings will be primarily single-story structures with a limited amount of second floor mezzanine office area located near the",South Coast Technology Center,,Development Project Review for a Zoning Ordinance Amendment,9/11/2023,planning@santa-ana.org,(714) 667-2732,Santa Ana,Santa Ana Planning Office
500 W. Santa Ana Boulevard – Ward 5,"The applicant is proposing to construct an eight (8) foot tall fence located in the front yard of an existing office building located in a Professional (P) zone. Installation will include demolition of the temporary fencing, American with Disabilities Act (ADA) ramp, and stairs. Due to the height of the fence exceeding four (4) feet, it will require minor exception.",NOVA Academy Fence,,Development Project Review for a Minor Exception,9/12/2023,planning@santa-ana.org,(714) 667-2732,Santa Ana,Santa Ana Planning Office
2860 S. Main Street – Ward 4,"Applicant is proposing to demolish an existing 2,300 sq. ft. commercial building in order to construct a new 1,706 sq. ft. car wash building with 12 parking stalls, including 8 vacuum stalls, and new landscaping and improvements. The project is discretionary and will require review and approval of a Conditional Use Permit and Variance.",Tommy’s Car Wash,,Development Project Review for a Conditional Use Permit and a Variance,9/22/2023,planning@santa-ana.org,(714) 667-2732,Santa Ana,Santa Ana Planning Office
101 N. Harbor Boulevard (Ward 5),"Applicant is proposing to construct a 10-story mixed-use development consisting of 15, 182-square feet of leasable commercial space, 183 residential units (of which 28 units will be affordable units), 13, 217-square feet of open space, and 341 onsite parking spaces. As proposed, the project requires approval of a Site Plan Review (SPR) by the Planning Commission.",1st and Harbor Mix-Use Development,,Development Project Review,"Updated: September 12, 2023",JGuevara@santa-ana.org,(714) 647-5481,Santa Ana,Jerry C. Guevara — Senior Planner
201 W. 3rd Street (Ward 5),"On September 16, 2014, the City Council directed the Planning and Building Agency to release a Request for Qualifications (RFQ) for the Third and Broadway Development Project. The RFQ outlined several project components desired by the City Council. Among the components of the new projects was a desire to include a hotel/hospitality component. Five proposals were received and only the Caribou Industries, Inc. proposal included a hotel. The City has entered into an Exclusive Negotiation Agreement with Caribou Industries, Inc.",3rd and Broadway Mix-Use Development,,Building Plan Check,"Updated: October 11th, 2023",APezeshkpour@santa-ana.org,(714) 647-5882,Santa Ana,"Ali Pezeshkpour, AICP — Planning Manager"
409 E. 4th Street (Ward 6),"Applicant proposes to construct a new commercial/residential mixed-use development consisting of 11,361 square feet of commercial space and 169 residential units on two city blocks, 409 E. 4th Street (Block A) and 509 E. 4th Street (Block B). The project will require Site Plan Approval, a Variance Application, an amendment to the Transit Zoning Code, and an addendum to the Transit Zoning Code Environmental Impact Report (EIR).",4th and Mortimer Mixed-Used Development,,Permits Issued,"Updated: October 30th, 2023",PGomez@santa-ana.org,(714) 667-2790,Santa Ana,"Pedro Gomez, AICP — Senior Planner"
419 N. Harbor Blvd (Ward 5),"The applicant, Excel Property Management Services, Inc., is proposing to construct a mixed-use project consisting of 94-multi-family units and 9,500 square feet of commercial space at 419/421 N. Harbor Blvd (south-east corner of Harbor Blvd. and 5th St. including 325, 326, 405, 419, 421 N. Harbor Blvd., 3710 W. 5th St., 326, 408, 414 N. Figueroa St.). The project contains: a four-story mixed-use building (along Harbor Blvd.) with 7 studios, 43 one bedrooms, and 29 two bedrooms, and a three-story building (along 5th St. and Figueroa St.) with 15 two bedroom townhomes. A total of 198 parking spaces are proposed. The project includes an outdoor plaza at the corner, gym, outdoor deck, and pool. Currently, the approximately 1.85-acre site is undeveloped. The project requires Site Plan Review by the Planning Commission.",5th and Harbor Mixed-Use Development,,Development Project Review,"Updated: October 11th, 2023",JGuevara@santa-ana.org,(714) 647-5481,Santa Ana,Jerry C. Guevara — Senior Planner
813 N. Euclid Street (Ward 1),"7-Eleven proposes to construct a 3,045-square foot convenience store and 1,800-square foot fueling canopy on a 0.64-acre site. The project would also include new landscaping, refuse enclosure and parking. The site is currently vacant. The project requires a conditional use permit (CUP) for after-hours operation and an amendment application (zone change).",7-Eleven Service Station (Euclid Street),,Under Construction,"Updated: October 30th, 2023",APezeshkpour@santa-ana.org,(714) 647-5882,Santa Ana,"Ali Pezeshkpour, AICP — Planning Manager"
2202 E. 1st Street (Ward 3),"Applicant is proposing to construct a new 5-story residential development consisting of 188 residential units designated as senior housing. The project requires approval of a density bonus agreement (DBA), Planning Commission Site Plan Review (SPR), and an inclusionary housing agreement. The development will consist of a 4-over one podium building with 90 parking stalls.",AMG Senior Housing,,Development Project Review,"Updated: October 11th, 2023",JGuevara@santa-ana.org,(714) 647-5481,Santa Ana,Jerry C. Guevara — Senior Planner
4006 W. Hazard Avenue,"The owner of 4006, 4010, and 4018 West Hazard Avenue (APN: 100-261-18, 100-261-19, and 100-261-20) with thirteen (13) single-family homes and a 3,500 square-foot religious temple. The site is located in the Specific Development No. 53 (SD-53) zoning district and has a General Plan land use designation of Low Medium Density Residential (LMR). As proposed, the project is discretionary and requires approval of a Development Project application, Tentative Tract Map, Conditional Use Permit, and Amendment Application to amend SD-53.",Bella Terra Residential Community and Temple,,Development Project Review,"Updated: October 11th, 2023",HJacinto@santa-ana.org,(714) 667-2725,Santa Ana,Heidi Jacinto — Assistant Planner II
1122 N. Bewley Street (Ward 1),"The applicant is proposing to construct a 10-unit condominium development on a 0.87-acre lot located at 1122 North Bewley Street, Santa Ana. The site is currently graded and vacant. The property is located within the Two-Family Residence (R-2) zoning district and has a General Plan land use designation of Low-Density Residential (LR-7). As proposed, the project requires approval of a General Plan Amendment (GPA) and a tract map by the Planning Commission and City Council.",Bewley Townhomes,,Building Plan Check,"Updated: October 11th, 2023",JGuevara@santa-ana.org,(714) 647-5481,Santa Ana,Jerry C. Guevara — Senior Planner
1814 E. First Street (Ward 3),"Brandywine Homes is proposing to develop two vacant parcels with 35 single-family attached townhomes, six of which are proposed as Live/Work and four as affordable. The proposed townhouse buildings will range in height from 3-4 stories designed with tuck-under parking. The units will range from 2-3 bedrooms and from 1,385 to 2,476 sq. ft. in size. The proposed development will require review and approval of a tentative tract map for condominium purposes.",Cabrillo Crossing Townhomes,,Permits Issued,"Updated: October 30th, 2023",JGuevara@santa-ana.org,(714) 647-5481,Santa Ana,Jerry C. Guevara — Senior Planner
1901 E. Fourth Street (Ward 3),"Applicant is proposing a mixed-use development consisting of a 449 unit, 5-story wrap building with a 6.5-story, 898-stall parking structure; a 58 unit 3-story townhome community; 6000 S.F of retail space and 9000 S.F. of live/work area; and 76212 S.F. of common open space. The Project is proposed as an SB 330 application and discretionary approval of a Site Plan Review and Tentative Tract Map will be required.",Cabrillo Town Center,,Entitlement Denied,"Updated: October 11th, 2023",planning@santa-ana.org,(714) 667-2732,Santa Ana,Pedro Gomez — Senior Planner
1801 E. 4th Street (Ward 3),"The applicant Waterford Property Company proposes to construct a mixed-use project consisting of 644 multi-family residential units and 15,130 square feet of commercial space on an approximately 8 acre site. The project is comprised of two 5-story buildings wrapped around a 7-level parking structure. The project is located within the Metro East Mixed-Use Overlay District and requires Planning Commission Site Plan Review.",Central Pointe Mixed-Use Development,,Entitlement Approved,"Updated: October 11th, 2023",APezeshkpour@santa-ana.org,(714) 647-5882,Santa Ana,"Ali Pezeshkpour, AICP — Planning Manager"
4405 W. Edinger Avenue (Ward 1),"The applicant, Archangel Michael Coptic Orthodox Church, proposes to construct a new two-story, 9,928 square-foot community service building, add 110 seats within the mezzanine of the existing church, and site improvements including adding 55 parking spaces (156 spaces total), landscaping and a 6-foot high wall along the rear and side property lines. The project also involves the demolition of five adjacent single-family homes (4330, 4326, & 4402 Regents Drive and 4319 & 4325 Edigner Avenue), reconfiguring the site layout to allow for two driveways off of Edinger Avenue and the consolidation of four lots into one. A conditional use permit is required for the project.",Coptic Orthodox Church,,Development Project Review,"Updated: August 4, 2020",FArias@santa-ana.org,(714) 667-2792,Santa Ana,Fernanda Arias — Assistant Planner I
1126 E. Washington Avenue (Ward 3),"The applicant proposes to construct a new, four-level, 86-unit affordable residential community with a 1,060-square foot commercial space, as well as amenities, 120 parking spaces, and landscaping. The project required administrative site plan approval and approval of an administrative minor exception application to allow a 14-percent reduction in required parking and to allow tandem parking spaces.",Crossroads at Washington,,Under Construction,"Updated: October 30th , 2023",APezeshkpour@santa-ana.org,(714) 647-5882,Santa Ana,"Ali Pezeshkpour, AICP — Planning Manager"
1660 E. 1st Street (Ward 3),"Wermers Properties proposes to redevelop the former Elks Club site into two mixed-use (residential and commercial) structures with below-ground parking with a total of 603 residential units 20,000 square feet of commercial space. The project is located within the extended Metro East Mixed Use Overlay District. The project was approved by the Planning Commission on October 22, 2018.",Elan (Formerly Wermers Elk Site Mixed-Use Development),,Under Construction,"Updated: October 30th, 2023",APezeshkpour@santa-ana.org,(714) 647-5882,Santa Ana,"Ali Pezeshkpour, AICP — Planning Manager"
801 E. Santa Ana Blvd. (Ward 6),"Under ConstructionThe foundation phase with underground electrical, plumbing in slab ready to pour.",FX Residences,,Under Construction,"Updated: October30th, 2023",PGomez@santa-ana.org,(714) 667-2790,Santa Ana,"Pedro Gomez, AICP — Senior Planner"
1700 E. Garry Avenue (Ward 6),Second Sunshine Ordinance Community Meeting Flyers - English & Español,Garry Avenue Business Park,,Building Plan Check,"Updated: October 11th, 2023",APezeshkpour@santa-ana.org,(714) 647-5882,Santa Ana,"Ali Pezeshkpour, AICP — Planning Manager"
2525 N. Grand Avenue (Ward 3),"Applicant is proposing a residential development consisting of 80 three-story townhouse units, with 24,526 square feet of common open space, 180 parking spaces, and onsite improvements. Application is being submitted as an SB 330 project. An approval of a development project and a subdivision will be required. The project is discretionary.",Grand and Grovemont Development,,Development Project Review,,PGomez@santa-ana.org,(714) 667-2790,Santa Ana,"Pedro Gomez, AICP — Senior Planner"
1921 W. Washington Avenue (Ward 5),"Habitat for Humanity of Orange County has been awarded $2.2 million in Inclusionary Housing Funds to construct three residential buildings that would provide six affordable units for-sale. All six units will contain three bedrooms, a living room, kitchen, and an attached two-car garage. This project is discretionary and requires the approval of a tentative tract map and density bonus agreement.",Habitat for Humanity Washington Avenue Project,,Development Project Review,"Updated: October 12th, 2023",planning@santa-ana.org,(714) 667-2732,Santa Ana,Cristian Santana — Assistant Planner I
